gene_id,gene,Product,Note,Locus,Protein ID,COG Class,COG Annotation,GeneID,Protein product,Protein Length,Protein name,FPKM of control-1,FPKM of control-2,FPKM of control-3,FPKM of Flu30d-Amor-1,FPKM of Flu30d-Amor-2
iap,iap,aminopeptidase in alkaline phosphatase isozyme conversion,,NC_000913.3:2876580-2877618,16130660,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones","[COG2234] Zn-dependent amino- or carboxypeptidase, M28 family",947215,NP_417233.1,345,aminopeptidase in alkaline phosphatase isozyme conversion,22.4454,28.446,12.6417,4.6241,4.995
ibaG,ibaG,acid stress protein%3B putative BolA family transcriptional regulator,,NC_000913.3:3336548-3336803,90111555,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,"[COG5007] Acid stress-induced BolA-like protein IbaG/YrbA, predicted regulator of iron metabolism",947958,NP_417657.2,84,acid stress protein; putative BolA family transcriptional regulator,30.9049,42.47,20.0488,24.1077,22.763
ibpA,ibpA,heat shock chaperone,heat shock protein,NC_000913.3:3867008-3867422,16131555,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones","[COG0071] Molecular chaperone IbpA, HSP20 family",948200,NP_418142.1,137,heat shock chaperone,51.3607,36.6138,35.1366,93.9089,65.9496
ibpB,ibpB,heat shock chaperone,heat shock protein,NC_000913.3:3866468-3866897,90111637,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones","[COG0071] Molecular chaperone IbpA, HSP20 family",948192,NP_418141.2,142,heat shock chaperone,9.8642,10.4305,7.20931,65.0854,38.3199
ibsA,ibsA,toxic membrane protein,,NC_000913.3:2153308-2153451,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ibsB,ibsB,toxic membrane protein,,NC_000913.3:2153643-2153779,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ibsC,ibsC,toxic membrane protein,,NC_000913.3:3056848-3056988,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ibsD,ibsD,toxic membrane protein,,NC_000913.3:3194722-3194865,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ibsE,ibsE,toxic membrane protein,,NC_000913.3:3195098-3195240,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
icd,icd,isocitrate dehydrogenase%3B e14 prophage attachment site%3B tellurite reductase,isocitrate dehydrogenase%2C specific for NADP+,NC_000913.3:1195122-1196373,16129099,(METABOLISM) [C] Energy production and conversion,[COG0538] Isocitrate dehydrogenase,945702,NP_415654.1,416,isocitrate dehydrogenase; e14 prophage attachment site; tellurite reductase,502.889,555.46,763.89,684.482,560.394
icdC,icdC,,pseudogene%2C isocitrate dehydrogenase C-terminal gene fragment~idcC' is a 54 codon 3' gene fragment created during e14 prophage insertion,NC_000913.3:1211412-1211577,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
iceT,iceT,putative citrate/iron-citrate/zinc-citrate efflux transporter,putative transport protein,NC_000913.3:2161463-2164998,16130017,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG2814] Predicted arabinose efflux permease, MFS family",946601,NP_416581.1,471,putative citrate/iron-citrate/zinc-citrate efflux transporter,1.69732,1.65341,2.95949,3.62505,3.5328
iclR,iclR,transcriptional repressor,repressor of aceBA operon,NC_000913.3:4222803-4223628,90111675,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1414] DNA-binding transcriptional regulator, IclR family",948524,NP_418442.2,274,transcriptional repressor,49.7707,57.7889,28.3015,20.2036,16.5827
idi,idi,isopentenyl diphosphate isomerase,,NC_000913.3:3033064-3033613,16130791,(METABOLISM) [I] Lipid transport and metabolism,[COG1443] Isopentenyldiphosphate isomerase,949020,NP_417365.1,182,isopentenyl diphosphate isomerase,17.2323,14.2906,17.2311,17.1028,16.3596
idnD,idnD,L-idonate 5-dehydrogenase%2C NAD-binding,,NC_000913.3:4493374-4494406,16132089,(METABOLISM) [E] Amino acid transport and metabolism; [R] General function prediction only,[COG1063] Threonine dehydrogenase or related Zn-dependent dehydrogenase,944769,NP_418688.1,343,"L-idonate 5-dehydrogenase, NAD-binding",2.83308,2.4414,3.75249,4.94107,6.26888
idnK,idnK,D-gluconate kinase%2C thermosensitive,,NC_000913.3:4494622-4495186,16132090,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG3265] Gluconate kinase,946066,NP_418689.1,187,"D-gluconate kinase, thermosensitive",2.64866,1.80032,5.90097,4.93916,4.13386
idnO,idnO,5-keto-D-gluconate-5-reductase,,NC_000913.3:4492586-4493351,16132088,"(METABOLISM) [I] Lipid transport and metabolism; [Q] Secondary metabolites biosynthesis, transport and catabolism; [R] General function prediction only","[COG1028] NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",947109,NP_418687.1,254,5-keto-D-gluconate-5-reductase,3.90232,3.09035,4.03645,6.03393,7.48937
idnR,idnR,transcriptional repressor%2C 5-gluconate-binding,,NC_000913.3:4490140-4491139,16132086,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1609] DNA-binding transcriptional regulator, LacI/PurR family",949058,NP_418685.1,332,"transcriptional repressor, 5-gluconate-binding",5.15343,5.81763,4.35955,4.34586,5.00201
idnT,idnT,L-idonate and D-gluconate transporter,,NC_000913.3:4491205-4492525,16132087,(METABOLISM) [G] Carbohydrate transport and metabolism; [R] General function prediction only,[COG2610] H+/gluconate symporter or related permease,948798,NP_418686.1,439,L-idonate and D-gluconate transporter,2.70874,2.99875,3.92347,3.92572,4.59258
ihfA,ihfA,integration host factor (IHF)%2C DNA-binding protein%2C alpha subunit,integration host factor (IHF)%2C alpha subunit%3B site specific recombination,NC_000913.3:1795252-1795552,16129668,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair",[COG0776] Bacterial nucleoid DNA-binding protein,945472,NP_416227.1,99,"integration host factor (IHF), DNA-binding protein, alpha subunit",1216.07,1106.98,889.545,832.401,753.385
ihfB,ihfB,integration host factor (IHF)%2C DNA-binding protein%2C beta subunit,integration host factor (IHF)%2C beta subunit%3B site-specific recombination,NC_000913.3:963827-964112,16128879,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair",[COG0776] Bacterial nucleoid DNA-binding protein,945533,NP_415432.1,94,"integration host factor (IHF), DNA-binding protein, beta subunit",174.859,172.482,165.912,308.055,253.351
ileS,ileS,isoleucyl-tRNA synthetase,isoleucine tRNA synthetase,NC_000913.3:22390-25701,16128020,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG0060] Isoleucyl-tRNA synthetase,944761,NP_414567.1,938,isoleucyl-tRNA synthetase,67.2899,61.9893,49.6697,110.486,121.105
ileT,ileT,,anticodon: GAU,NC_000913.3:4037140-4037217,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ileU,ileU,,anticodon: GAU,NC_000913.3:3427075-3427152,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ileV,ileV,,anticodon: GAU,NC_000913.3:225380-225457,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ileX,ileX,,anticodon: CAU,NC_000913.3:3215597-3215673,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ileY,ileY,,anticodon: GAU,NC_000913.3:2785761-2785837,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ilvA,ilvA,l-threonine dehydratase%2C biosynthetic%3B also known as threonine deaminase,threonine deaminase (dehydratase),NC_000913.3:3955330-3956875,16131630,(METABOLISM) [E] Amino acid transport and metabolism,[COG1171] Threonine dehydratase,948287,NP_418220.1,514,"l-threonine dehydratase, biosynthetic; also known as threonine deaminase",6.47988,6.14742,8.00334,9.14323,9.4227
ilvB,ilvB,acetolactate synthase 2 large subunit,acetolactate synthase I%2Cvaline-sensitive%2C large subunit,NC_000913.3:3851095-3852784,16131541,(METABOLISM) [E] Amino acid transport and metabolism; [H] Coenzyme transport and metabolism,[COG0028] Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme,948182,NP_418127.1,562,acetolactate synthase 2 large subunit,6.30884,8.89571,15.8786,21.27,12.7133
ilvC,ilvC,ketol-acid reductoisomerase%2C NAD(P)-binding,ketol-acid reductoisomerase,NC_000913.3:3957969-3959445,16131632,(METABOLISM) [E] Amino acid transport and metabolism; [H] Coenzyme transport and metabolism,[COG0059] Ketol-acid reductoisomerase,948286,NP_418222.1,491,"ketol-acid reductoisomerase, NAD(P)-binding",19.9918,15.5434,20.1591,16.5425,16.5168
ilvD,ilvD,dihydroxyacid dehydratase,,NC_000913.3:3953477-3955328,49176404,(METABOLISM) [E] Amino acid transport and metabolism; [G] Carbohydrate transport and metabolism,[COG0129] Dihydroxyacid dehydratase/phosphogluconate dehydratase,948277,YP_026248.1,616,dihydroxyacid dehydratase,6.03523,6.35481,9.69593,11.4005,12.6124
ilvE,ilvE,branched-chain amino acid aminotransferase,,NC_000913.3:3952483-3953413,49176403,(METABOLISM) [E] Amino acid transport and metabolism; [H] Coenzyme transport and metabolism,[COG0115] Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,948278,YP_026247.1,309,branched-chain amino acid aminotransferase,10.7956,10.3181,13.3385,24.9748,23.6376
ilvG,ilvG,,pseudogene%2C acetolactate synthase 2 large subunit%2C valine-insensitive~acetolactate synthase II%2C large subunit%2C cryptic%2C interrupted,NC_000913.3:3950559-3952464,-,-,-,-,-,-,-,9.0265,8.46017,14.8402,18.2789,14.5419
ilvH,ilvH,acetolactate synthase 3%2C small subunit%2C valine-sensitive,acetolactate synthase III%2C valine sensitive%2C small subunit,NC_000913.3:87356-87848,16128071,(METABOLISM) [E] Amino acid transport and metabolism,"[COG0440] Acetolactate synthase, small subunit",947267,NP_414620.1,163,"acetolactate synthase 3, small subunit, valine-sensitive",6.79332,6.26026,6.41438,6.77039,8.74246
ilvI,ilvI,acetolactate synthase 3 large subunit,acetolactate synthase III%2C valine sensitive%2C large subunit,NC_000913.3:85629-87354,90111084,(METABOLISM) [E] Amino acid transport and metabolism; [H] Coenzyme transport and metabolism,[COG0028] Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme,948793,YP_025294.2,574,acetolactate synthase 3 large subunit,5.37515,5.97093,5.9349,6.55651,7.96942
ilvL,ilvL,ilvG operon leader peptide,ilvGEDA operon leader peptide,NC_000913.3:3950321-3950420,-,-,-,-,-,-,-,0.0,121.401,0.0,0.0,0.0
ilvM,ilvM,acetolactate synthase 2 small subunit,acetolactate synthase II%2C valine insensitive%2C small subunit,NC_000913.3:3950559-3952464,16131627,(METABOLISM) [C] Energy production and conversion,"[COG3978] Acetolactate synthase small subunit, contains ACT domain",948279,NP_418217.1,87,acetolactate synthase 2 small subunit,0.0,0.488423,0.0,0.0,0.0
ilvN,ilvN,acetolactate synthase 1 small subunit,acetolactate synthase I%2C valine sensitive%2C small subunit,NC_000913.3:3850801-3851092,16131540,(METABOLISM) [E] Amino acid transport and metabolism,"[COG0440] Acetolactate synthase, small subunit",948183,NP_418126.1,96,acetolactate synthase 1 small subunit,12.0264,9.03045,13.2928,16.4944,14.0708
ilvX,ilvX,uncharacterized protein,,NC_000913.3:3950506-3950557,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ilvY,ilvY,transcriptional activator of ilvC%3B autorepressor,positive regulator for ilvC,NC_000913.3:3956926-3957820,16131631,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",948284,NP_418221.1,297,transcriptional activator of ilvC; autorepressor,8.57156,6.72105,11.1965,8.58408,10.1493
inaA,inaA,acid-inducible Kdo/WaaP family putative kinase,pH-inducible protein involved in stress response,NC_000913.3:2348821-2349472,-,-,-,-,-,-,-,34.0322,28.4576,23.7194,49.3896,44.3261
infA,infA,translation initiation factor IF-1,protein chain initiation factor IF-1,NC_000913.3:926224-926443,16128851,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG0361] Translation initiation factor IF-1,945500,NP_415404.1,72,translation initiation factor IF-1,574.816,707.715,305.671,169.524,162.899
infB,infB,translation initiation factor IF-2,protein chain initiation factor IF-2,NC_000913.3:3313341-3316014,16131060,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG3064] Membrane protein involved in colicin uptake,947684,NP_417637.1,890,translation initiation factor IF-2,62.4954,68.1034,55.8051,129.0,149.315
infC,infC,translation initiation factor IF-3,,NC_000913.3:1800095-1800638,16129674,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG0290] Translation initiation factor IF-3,946225,NP_416233.1,180,translation initiation factor IF-3,1991.03,1918.79,1255.01,1098.38,1075.34
insA,insA,,insA4,NC_000913.3:1049832-1050530,16132115,"(Unknown) [X] Mobilome: prophages, transposons",[COG3677] Transposase,948830,NP_418714.1,91,IS1 repressor TnpA,15.457781428571428,17.195375714285714,8.543015714285714,8.153274285714286,6.8902399999999995
insB1,insB1,IS1 transposase B,IS1 transposase B%3BIS%2C phage%2C Tn%3B Transposon-related functions%3B extrachromosomal%3B transposon related,NC_000913.3:1049832-1050530,16131317,"(Unknown) [X] Mobilome: prophages, transposons","[COG1662] Transposase and inactivated derivatives, IS1 family",947949,NP_417902.1,167,IS1 transposase B,18.962404285714285,21.59924857142857,9.832468571428572,8.018878571428571,8.002537142857141
insC1,insC1,IS2 repressor TnpA,,NC_000913.3:1465391-1474013,145698344,"(Unknown) [X] Mobilome: prophages, transposons",[COG2963] Transposase and inactivated derivatives,948781,NP_418692.2,121,IS2 repressor TnpA,35.84961666666667,35.1522,36.5651,47.20965,44.84511666666666
insD1,insD1,IS2 transposase TnpB,IS2 transposase TnpB%3BIS%2C phage%2C Tn%3B Transposon-related functions%3B extrachromosomal%3B transposon related,NC_000913.3:1465391-1474013,16132094,"(Unknown) [X] Mobilome: prophages, transposons",[COG2801] Transposase InsO and inactivated derivatives,948779,NP_418693.1,301,IS2 transposase TnpB,25.1993,24.192028571428573,21.747971428571425,26.369028571428572,23.768842857142857
insE1,insE1,IS3 transposase A,,NC_000913.3:1094274-1095437,226524731,"(Unknown) [X] Mobilome: prophages, transposons",[COG2963] Transposase and inactivated derivatives,946616,NP_416592.2,99,IS3 transposase A,46.211380000000005,43.822540000000004,37.00288,34.72304,36.09478
insF1,insF1,IS3 transposase B,,NC_000913.3:1094274-1095437,16130028,"(Unknown) [X] Mobilome: prophages, transposons",[COG2801] Transposase InsO and inactivated derivatives,946629,NP_416593.1,288,IS3 transposase B,25.36492,25.63452,19.89134,18.928620000000002,17.046100000000003
insG,insG,IS4 transposase,,NC_000913.3:4502102-4503431,16132099,"(Unknown) [X] Mobilome: prophages, transposons",[COG3385] IS4 transposase,948805,NP_418698.1,442,IS4 transposase,4.17576,4.8854,3.72868,5.94939,6.40148
insH1,insH1,IS5 transposase and trans-activator,,NC_000913.3:1396075-1397092,16131377,"(Unknown) [X] Mobilome: prophages, transposons","[COG3039] Transposase and inactivated derivatives, IS5 family",948015,NP_417962.1,338,IS5 transposase and trans-activator,38.67781636363637,39.10233818181818,30.32278909090909,23.783421818181818,20.369433636363638
insI1,insI1,IS30 transposase,IS30 transposase%3BIS%2C phage%2C Tn%3B Transposon-related functions%3B extrachromosomal%3B transposon related,NC_000913.3:1465391-1474013,16132105,"(Unknown) [X] Mobilome: prophages, transposons","[COG2826] Transposase and inactivated derivatives, IS30 family",948815,NP_418704.1,383,IS30 transposase,10.824885,8.9942,11.70845,7.8406375,8.68389
insJ,insJ,IS150 transposase A,,NC_000913.3:3720679-3722049,16131428,"(Unknown) [X] Mobilome: prophages, transposons",[COG2963] Transposase and inactivated derivatives,948082,NP_418014.1,173,IS150 transposase A,3.11352,1.5788,2.1377,0.689517,1.77838
insK,insK,IS150 transposase B,,NC_000913.3:3720679-3722049,16131429,"(Unknown) [X] Mobilome: prophages, transposons",[COG2801] Transposase InsO and inactivated derivatives,948081,NP_418015.1,283,IS150 transposase B,0.568346,0.675399,0.835254,1.31812,1.01278
insL1,insL1,IS186 transposase,,NC_000913.3:15444-16557,90111427,"(Unknown) [X] Mobilome: prophages, transposons",[COG3385] IS4 transposase,946896,NP_416895.2,370,IS186 transposase,15.078933333333334,17.61623333333333,12.653033333333333,19.4996,21.549266666666664
insM,insM,,pseudogene%2C IS600 transposase%3BIS%2C phage%2C Tn%3B Transposon-related functions%3B extrachromosomal%3B transposon related,NC_000913.3:4507196-4509793,-,-,-,-,-,-,-,0.521735,0.951327,1.79386,3.85195,5.53038
insN,insN,,pseudogene%2C IS911 transposase A%3BIS%2C phage%2C Tn%3B Transposon-related functions%3B extrachromosomal%3B transposon related,NC_000913.3:270277-272189,-,-,-,-,-,-,-,21.448,19.1144,8.0693,5.53407,7.23095
insO,insO,,pseudogene%2C IS911 transposase B%3BIS%2C phage%2C Tn%3B Transposon-related functions%3B extrachromosomal%3B transposon related,NC_000913.3:4507196-4509793,-,-,-,-,-,-,-,3.57285,2.30119,2.98918,3.48368,4.0462
insP,insP,,pseudogene%2C IS609 transposase A%3BIS%2C phage%2C Tn%3B Transposon-related functions%3B extrachromosomal%3B transposon related,NC_000913.3:1503217-1503649,-,-,-,-,-,-,-,3.11323,3.62954,1.42583,4.90383,3.09764
insQ,insQ,IS609 transposase B,,NC_000913.3:1503716-1504865,288551665,"(Unknown) [X] Mobilome: prophages, transposons",[COG0675] Transposase,944942,NP_415949.2,382,IS609 transposase B,24.7444,27.3521,22.0475,20.9376,18.5544
insX,insX,,pseudogene%2C IS3 family transposase family,NC_000913.3:280113-280362,-,-,-,-,-,-,-,21.6713,18.0231,19.8676,16.4547,27.1653
insZ,insZ,,pseudogene%2C transposase homolog,NC_000913.3:1294425-1295322,-,-,-,-,-,-,-,3.50609,4.93219,3.48459,3.03715,3.02362
intA,intA,CP4-57 prophage%3B integrase,prophage CP4-57 integrase,NC_000913.3:2756158-2757400,16130540,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair; [X] Mobilome: prophages, transposons",[COG0582] Integrase,946160,NP_417111.1,413,CP4-57 prophage; integrase,8.97259,8.44538,8.71057,14.9242,17.1239
intB,intB,,pseudogene%2C integrase homology%3BIS%2C phage%2C Tn%3B Phage-related functions and prophages~KpLE2 phage-like element%3B P4-like integrase,NC_000913.3:4496674-4497940,-,-,-,-,-,-,-,18.7219,15.8669,12.2888,10.931,11.9313
intD,intD,DLP12 prophage%3B putative phage integrase,prophage DLP12 integrase,NC_000913.3:564814-566079,16128520,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair; [X] Mobilome: prophages, transposons",[COG0582] Integrase,947162,NP_415069.1,387,DLP12 prophage; putative phage integrase,23.2558,17.923,17.4375,11.5231,13.5182
intE,intE,e14 prophage%3B putative integrase,prophage e14 integrase,NC_000913.3:1199678-1201032,16129103,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair; [X] Mobilome: prophages, transposons",[COG0582] Integrase,948034,NP_415658.1,375,e14 prophage; putative integrase,3.88515,3.32559,2.18648,0.941292,1.37773
intF,intF,CP4-6 prophage%3B putative phage integrase,putative phage integrase,NC_000913.3:295695-297096,16128266,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair; [X] Mobilome: prophages, transposons",[COG0582] Integrase,947351,NP_414815.1,466,CP4-6 prophage; putative phage integrase,16.5459,12.3414,8.36633,7.80488,6.38531
intG,intG,,pseudogene%2C phage integrase family,NC_000913.3:2012501-2012663,-,-,-,-,-,-,-,0.0,0.0,3.2099,0.0,0.0
intK,intK,,pseudogene%2C integrase fragment%2C Qin prophage%3BPhage or Prophage Related,NC_000913.3:1631001-1652708,-,-,-,-,-,-,-,1.64701,0.0,0.0,0.0,4.08834
intQ,intQ,,pseudogene%2C Qin prophage%3B phage integrase family%3BPhage or Prophage Related,NC_000913.3:1631001-1652708,-,-,-,-,-,-,-,2.98073,2.75735,3.02017,1.74285,1.27237
intR,intR,Rac prophage%3B integrase,,NC_000913.3:1411999-1413235,16129306,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair; [X] Mobilome: prophages, transposons",[COG0582] Integrase,946976,NP_415861.1,411,Rac prophage; integrase,2.03403,1.54409,3.03894,2.30887,1.65124
intS,intS,CPS-53 (KpLE1) prophage%3B putative prophage CPS-53 integrase,,NC_000913.3:2466544-2467702,16130281,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair; [X] Mobilome: prophages, transposons",[COG0582] Integrase,946821,NP_416850.1,385,CPS-53 (KpLE1) prophage; putative prophage CPS-53 integrase,1.79969,1.71684,2.69888,2.15782,2.79921
intZ,intZ,CPZ-55 prophage%3B putative phage integrase,putative prophage integrase,NC_000913.3:2558857-2560066,145698295,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair; [X] Mobilome: prophages, transposons",[COG0582] Integrase,946923,NP_416937.2,402,CPZ-55 prophage; putative phage integrase,0.0,0.0,0.0,0.0,0.0
iraD,iraD,RpoS stabilzer after DNA damage%2C anti-RssB factor,,NC_000913.3:4556992-4558289,90111730,"(CELLULAR PROCESSES AND SIGNALING) [U] Intracellular trafficking, secretion, and vesicular transport",[COG3518] Predicted component of the type VI protein secretion system,948851,NP_418746.4,130,"RpoS stabilzer after DNA damage, anti-RssB factor",10.4266,7.35671,4.44358,4.29741,8.93737
iraM,iraM,RpoS stabilzer during Mg starvation%2C anti-RssB factor,,NC_000913.3:1211679-1212003,-,-,-,-,-,-,-,0.0,0.0,0.789372,0.508713,0.0
iraP,iraP,anti-RssB factor%2C RpoS stabilzer during Pi starvation%3B anti-adapter protein,,NC_000913.3:401385-401646,-,-,-,-,-,-,-,40.2072,29.6088,23.3578,42.2926,32.5057
iroK,iroK,3-hydroxypropionic acid resistance peptide,completely contained in another CDS,NC_000913.3:2668005-2668896,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
iscA,iscA,FeS cluster assembly protein,,NC_000913.3:2659562-2659886,16130453,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG0316] Fe-S cluster assembly iron-binding protein IscA,946999,NP_417023.1,107,FeS cluster assembly protein,230.058,257.864,186.292,204.502,185.706
iscR,iscR,isc operon transcriptional repressor%3B suf operon transcriptional activator%3B oxidative stress- and iron starvation-inducible%3B autorepressor,Fe-S cluster-containing transcription factor~transcriptional repressor of iscRSUA operon,NC_000913.3:2661642-2662131,16130456,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1959] DNA-binding transcriptional regulator, IscR family",945279,NP_417026.1,162,isc operon transcriptional repressor; suf operon transcriptional activator; oxidative stress- and iron starvation-inducible; autorepressor,116.889,142.299,76.3071,58.2033,45.4926
iscS,iscS,cysteine desulfurase (tRNA sulfurtransferase)%2C PLP-dependent,cysteine desulfurase~cysteine desulfurase (tRNA sulfurtransferase) PLP-dependent,NC_000913.3:2660316-2661531,49176235,(METABOLISM) [E] Amino acid transport and metabolism,[COG1104] Cysteine sulfinate desulfinase/cysteine desulfurase or related enzyme,947004,YP_026169.1,404,"cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent",197.726,240.212,148.295,156.133,134.748
iscU,iscU,iron-sulfur cluster assembly scaffold protein,,NC_000913.3:2659902-2660289,16130454,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG0822] NifU homolog involved in Fe-S cluster formation,947002,NP_417024.1,128,iron-sulfur cluster assembly scaffold protein,183.947,215.529,171.92,178.667,168.969
iscX,iscX,Fe(2+) donor and activity modulator for cysteine desulfurase,,NC_000913.3:2656535-2656736,16130449,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG2975] Fe-S-cluster formation regulator IscX/YfhJ,945196,NP_417019.1,66,Fe(2+) donor and activity modulator for cysteine desulfurase,71.0629,66.0085,69.2064,97.7449,75.3058
ispA,ispA,geranyltranstransferase,,NC_000913.3:440201-441343,16128406,(METABOLISM) [H] Coenzyme transport and metabolism,[COG0142] Geranylgeranyl pyrophosphate synthase,945064,NP_414955.1,299,geranyltranstransferase,42.0538,56.9813,27.85,32.2645,26.843
ispB,ispB,octaprenyl diphosphate synthase,,NC_000913.3:3333709-3334681,16131077,(METABOLISM) [H] Coenzyme transport and metabolism,[COG0142] Geranylgeranyl pyrophosphate synthase,947364,NP_417654.1,323,octaprenyl diphosphate synthase,48.4807,51.031,40.1506,43.2752,48.1745
ispD,ispD,4-diphosphocytidyl-2C-methyl-D-erythritol synthase,,NC_000913.3:2868892-2872490,16130654,(METABOLISM) [I] Lipid transport and metabolism,[COG1211] 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,948269,NP_417227.1,236,4-diphosphocytidyl-2C-methyl-D-erythritol synthase,11.8385,12.0655,10.7358,8.13442,6.61031
ispE,ispE,4-diphosphocytidyl-2-C-methylerythritol kinase,,NC_000913.3:1262025-1263500,16129171,(METABOLISM) [I] Lipid transport and metabolism,[COG1947] 4-diphosphocytidyl-2C-methyl-D-erythritol kinase,945774,NP_415726.1,283,4-diphosphocytidyl-2-C-methylerythritol kinase,18.3495,17.2602,20.1389,18.0942,17.9539
ispF,ispF,2C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,,NC_000913.3:2868892-2872490,16130653,(METABOLISM) [I] Lipid transport and metabolism,"[COG0245] 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",945057,NP_417226.1,159,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",12.5132,16.5626,16.9449,14.3124,17.5508
ispG,ispG,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,,NC_000913.3:2640685-2641804,16130440,(METABOLISM) [I] Lipid transport and metabolism,[COG0821] 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase IspG/GcpE,946991,NP_417010.1,372,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,95.5841,86.1402,72.0977,73.0751,76.7568
ispH,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein,,NC_000913.3:26276-27227,16128023,(METABOLISM) [I] Lipid transport and metabolism,[COG0761] 4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH,944777,NP_414570.1,316,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein",20.5192,23.3048,16.2287,24.4144,27.6689
ispU,ispU,undecaprenyl pyrophosphate synthase,undecaprenyl pyrophosphate synthetase (di-trans%2Cpoly-cis-decaprenylcistransferase),NC_000913.3:194902-195664,16128167,(METABOLISM) [I] Lipid transport and metabolism,[COG0020] Undecaprenyl pyrophosphate synthase,944874,NP_414716.1,253,undecaprenyl pyrophosphate synthase,68.072,76.3499,56.9002,56.3688,54.4925
isrC,isrC,,identified in a large scale screen,NC_000913.3:2071316-2071511,-,-,-,-,-,-,-,7.77258,4.64991,0.0,1.90519,1.58826
istR,istR,,,NC_000913.3:3853117-3853257,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,8.76375
ivbL,ivbL,ilvB operon leader peptide,,NC_000913.3:3852889-3852988,-,-,-,-,-,-,-,264.232,607.003,0.0,206.082,0.0
ivy,ivy,inhibitor of c-type lysozyme%2C periplasmic,inhibitor of vertebrate C-type lysozyme%2C periplasmic,NC_000913.3:240342-240816,-,-,-,-,-,-,-,62.5115,67.3512,54.8985,175.053,107.57
jayE,jayE,,pseudogene%2C e14 prophage%3BPhage or Prophage Related,NC_000913.3:1206142-1207497,-,-,-,-,-,-,-,0.634594,0.335059,2.17642,0.936621,0.514497
