antibiotic_class,treatment,comparison,regulation,gene,gene_id,baseMean,log2FoldChange,FoldChange,pvalue,padj,signal_strength,padj_source,Product,Note,Locus,Protein ID,COG Class,COG Annotation,GeneID,Protein product,Protein Length,Protein name
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,degS,degS,10.910528,-0.8915797265896455,0.53902357332642,0.06497584757108171,0.25133290235008754,0.5347255237348031,BH_from_pvalue,serine endoprotease%2C periplasmic,protease,NC_000913.3:3382199-3383267,16131125,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones","[COG0265] Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain",947865,NP_417702.1,355,"serine endoprotease, periplasmic"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,roxA,roxA,82.39914,-0.780209959623793,0.5822820458604777,0.037264712451860804,0.2093095157749375,0.5299272079629204,BH_from_pvalue,50S ribosomal protein L16 arginine hydroxylase%3B 2-oxoglutarate oxygenase,,NC_000913.3:1187118-1188240,90111217,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis","[COG2850] Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain",945391,NP_415646.4,373,50S ribosomal protein L16 arginine hydroxylase; 2-oxoglutarate oxygenase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,rob,rob,157.29540000000003,-0.6085244115588475,0.6558671799187032,0.00587274739912646,0.13472942717084802,0.5297433422625052,BH_from_pvalue,right oriC-binding transcriptional activator%2C AraC family,right origin-binding protein,NC_000913.3:4633796-4635310,16132213,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG3708] Predicted transcriptional regulator YdeE, contains AraC-type DNA-binding domain",948916,NP_418813.1,289,"right oriC-binding transcriptional activator, AraC family"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,potC,potC,9.170982,0.6974689695424412,1.621657297995443,0.014088032770055145,0.17422200525634862,0.5293071029540841,BH_from_pvalue,spermidine/putrescine ABC transporter permease,spermidine/putrescine transport system permease%3B membrane component of ABC superfamily,NC_000913.3:1181782-1184444,16129087,(METABOLISM) [E] Amino acid transport and metabolism,"[COG1177] ABC-type spermidine/putrescine transport system, permease component II",945691,NP_415642.1,264,spermidine/putrescine ABC transporter permease
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ypjD,ypjD,11.644308,-0.7987537470711596,0.5748455357542639,0.04421268803808234,0.21749711286800286,0.5292115023964844,BH_from_pvalue,cytochrome c assembly protein family inner membrane protein,,NC_000913.3:2747961-2748753,145698303,(POORLY CHARACTERIZED) [R] General function prediction only,"[COG4137] ABC-type uncharacterized transport system, permease component",947098,NP_417102.4,263,cytochrome c assembly protein family inner membrane protein
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yidX,yidX,4.679069999999999,-1.0299079752208944,0.48974138679200846,0.11282504066460844,0.30635315074339586,0.529143697917592,BH_from_pvalue,putative lipoprotein,putative replicase EC 2.7.-,NC_000913.3:3875437-3876094,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,wcaI,wcaI,1.2284435999999999,0.7305162255749623,1.6592326925641567,0.022712547417372175,0.18875151792301473,0.5289737732699489,BH_from_pvalue,putative glycosyl transferase,putative colanic biosynthesis glycosyl transferase,NC_000913.3:2124522-2126222,16129990,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG0438] Glycosyltransferase involved in cell wall bisynthesis,946588,NP_416554.1,407,putative glycosyl transferase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,lptB,lptB,34.938100000000006,0.5825580516965339,1.4975021265091335,0.0029433349665906215,0.1236200685968061,0.5289108747817111,BH_from_pvalue,lipopolysaccharide export ABC transporter ATPase,putative ATP-binding component of a transport system,NC_000913.3:3343943-3344669,16131091,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,"[COG1137] ABC-type lipopolysaccharide export system, ATPase component",947725,NP_417668.1,241,lipopolysaccharide export ABC transporter ATPase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,nuoG,nuoG,92.42222,0.7373631084011665,1.66712595639115,0.02526535807503883,0.19176916095201604,0.528852476977051,BH_from_pvalue,NADH:ubiquinone oxidoreductase%2C chain G,NADH dehydrogenase I chain G,NC_000913.3:2396464-2400165,145698290,(POORLY CHARACTERIZED) [R] General function prediction only,[COG3383] Predicted molibdopterin-dependent oxidoreductase YjgC,946762,NP_416786.4,908,"NADH:ubiquinone oxidoreductase, chain G"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,fecC,fecC,2.5223120000000003,0.8477669363552633,1.7997130971152797,0.05717804663863951,0.23790342395815245,0.5286668743956675,BH_from_pvalue,ferric citrate ABC transporter permease,citrate-dependent iron(III) transport protein%2C cytosolic%3B membrane component of ABC superfamily,NC_000913.3:4511457-4514308,16132110,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG0609] ABC-type Fe3+-siderophore transport system, permease component",948826,NP_418709.1,332,ferric citrate ABC transporter permease
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yqiA,yqiA,35.71748,-1.0931255039389,0.46874476908110807,0.13170642807151609,0.3284913264842519,0.5285000479177979,BH_from_pvalue,acyl CoA esterase,,NC_000913.3:3175424-3176833,16130927,(POORLY CHARACTERIZED) [R] General function prediction only,"[COG3150] Predicted esterase YcpF, UPF0227 family",947488,NP_417503.1,193,acyl CoA esterase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,grxD,grxD,101.23087999999998,-1.0623079778705495,0.47886537289625775,0.12255634562476135,0.31826478707070743,0.5281916466995282,BH_from_pvalue,glutaredoxin-4,,NC_000913.3:1733753-1734101,16129612,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG0278] Glutaredoxin-related protein,946169,NP_416171.1,115,glutaredoxin-4
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,mokC,mokC,60.348980000000005,-1.1183791857952947,0.460611014074707,0.13755212101677766,0.3372475800199571,0.5279321897402708,BH_from_pvalue,regulatory protein for HokC%2C overlaps CDS of hokC,regulatory peptide whose translation enables hokC (gef) expression~completely contained in another CDS,NC_000913.3:16750-17006,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,rspB,rspB,3.9315779999999996,-1.1349306620303063,0.4553568013637434,0.14188225955683142,0.3429206403621137,0.5275230057064105,BH_from_pvalue,putative Zn-dependent NAD(P)-binding oxidoreductase,starvation sensing protein,NC_000913.3:1652895-1653915,16129538,(METABOLISM) [E] Amino acid transport and metabolism; [R] General function prediction only,[COG1063] Threonine dehydrogenase or related Zn-dependent dehydrogenase,946127,NP_416097.1,339,putative Zn-dependent NAD(P)-binding oxidoreductase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yiaU,yiaU,8.13162,-0.5749358594469469,0.6713160966639699,0.0024530935687124213,0.12099169035249437,0.527356729508301,BH_from_pvalue,putative DNA-binding transcriptional regulator,putative transcriptional regulator LYSR-type,NC_000913.3:3751991-3754099,16131456,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",948107,NP_418042.1,324,putative DNA-binding transcriptional regulator
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,tolR,tolR,24.67064,-0.9838964888159918,0.5056123160421274,0.10004850617410745,0.2918846326914327,0.5261767924645976,BH_from_pvalue,membrane spanning protein in TolA-TolQ-TolR complex,putative inner membrane protein%2C involved in the tonB-independent uptake of group A colicins,NC_000913.3:775848-776277,16128713,"(CELLULAR PROCESSES AND SIGNALING) [U] Intracellular trafficking, secretion, and vesicular transport",[COG0848] Biopolymer transport protein ExbD,945328,NP_415266.1,142,membrane spanning protein in TolA-TolQ-TolR complex
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,hicB,hicB,13.949079999999999,-0.6725545719896937,0.6273947787225103,0.012423746941742078,0.16560279095172953,0.5252196211958553,BH_from_pvalue,antitoxin for the HicAB toxin-antitoxin system,,NC_000913.3:1509507-1509924,145698257,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,"[COG1598] Predicted nuclease of the RNAse H fold, HicB family",946001,NP_415955.2,138,antitoxin for the HicAB toxin-antitoxin system
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ydgA,ydgA,46.08574,0.6489021914882249,1.567974602621361,0.009820356807032067,0.15557517996285908,0.5243517023767096,BH_from_pvalue,DUF945 family protein,,NC_000913.3:1689851-1691360,16129572,(POORLY CHARACTERIZED) [S] Function unknown,"[COG5339] Uncharacterized conserved protein YdgA, DUF945 family",946172,NP_416131.1,502,DUF945 family protein
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ftsK,ftsK,19.36352,0.6580965464728363,1.5779992793278819,0.010676880404110814,0.15988537294855754,0.5239707222883554,BH_from_pvalue,DNA translocase at septal ring sorting daughter chromsomes,cell division protein,NC_000913.3:933223-937213,16128857,"(CELLULAR PROCESSES AND SIGNALING) [D] Cell cycle control, cell division, chromosome partitioning",[COG1674] DNA segregation ATPase FtsK/SpoIIIE and related proteins,945102,NP_415410.1,1329,DNA translocase at septal ring sorting daughter chromsomes
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yceK,yceK,44.82794,-0.8961982310203913,0.5373007544733032,0.0733399939003722,0.26023162313946147,0.5239532705553922,BH_from_pvalue,outer membrane integrity lipoprotein,,NC_000913.3:1113578-1113806,16129013,(POORLY CHARACTERIZED) [S] Function unknown,[COG5645] Uncharacterized conserved protein YceK,945613,NP_415568.1,75,outer membrane integrity lipoprotein
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,holE,holE,25.3528,-1.0700408457983581,0.47630551359793655,0.1283638953032767,0.32470230789215215,0.5227306020070024,BH_from_pvalue,DNA polymerase III%2C theta subunit,,NC_000913.3:1925107-1925338,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yahA,yahA,2.571742,-0.732031825651382,0.60205540921086,0.02604294917271954,0.19356128500325107,0.522071557943889,BH_from_pvalue,c-di-GMP-specific phosphodiesterase,,NC_000913.3:332370-333459,16128300,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG2771] DNA-binding transcriptional regulator, CsgD family",947459,NP_414849.1,362,c-di-GMP-specific phosphodiesterase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,uxaC,uxaC,24.30402,-0.7181835168946504,0.6078623140230812,0.02097102635058325,0.18875151792301473,0.5200435411726,BH_from_pvalue,uronate isomerase,,NC_000913.3:3243328-3244741,16130987,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG1904] Glucuronate isomerase,947599,NP_417563.1,470,uronate isomerase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ybaY,ybaY,53.51876,-0.8663956170633007,0.5485155337673447,0.06539251891531313,0.25136336872124326,0.519575729104589,BH_from_pvalue,outer membrane lipoprotein,glycoprotein/polysaccharide metabolism,NC_000913.3:475378-475951,49176025,(POORLY CHARACTERIZED) [S] Function unknown,[COG3126] Uncharacterized lipoprotein YbaY,945070,NP_414987.3,190,outer membrane lipoprotein
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,pmrD,pmrD,40.052820000000004,-0.908087703717432,0.5328909717627516,0.0786446597670258,0.2685015531309807,0.5185663870970721,BH_from_pvalue,inactive two-component system connector protein,an active Salmonella PmrD ortholog blocks dephosphorylation of PmrA(BasR) by PmrB(BasS),NC_000913.3:2367070-2373538,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,syd,syd,11.725435999999998,-0.7108276707724088,0.6109695264938046,0.01989765157972511,0.18688680344501307,0.5177820616424799,BH_from_pvalue,SecY-interacting protein,interacts with secY,NC_000913.3:2924734-2925280,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,pmbA,pmbA,46.88672,0.7440858739891096,1.6749126684015205,0.03067849228672569,0.2016941154310566,0.5173679474705606,BH_from_pvalue,putative antibiotic peptide MccB17 maturation peptidase,maturation of antibiotic MccB17%2C see tld genes,NC_000913.3:4457958-4459311,16132057,(POORLY CHARACTERIZED) [R] General function prediction only,[COG0312] Predicted Zn-dependent protease or its inactivated homolog,948750,NP_418656.1,450,putative antibiotic peptide MccB17 maturation peptidase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,cysB,cysB,31.43166,-0.6544584599561976,0.6353139223692225,0.011175260633203588,0.16205947993166897,0.5172352482921171,BH_from_pvalue,N-acetylserine-responsive cysteine regulon transcriptional activator%3B autorepressor,positive transcriptional regulator for cysteine regulon,NC_000913.3:1333854-1334829,16129236,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",945771,NP_415791.1,324,N-acetylserine-responsive cysteine regulon transcriptional activator; autorepressor
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,groL,groL,533.5414,0.743356629045012,1.6740662574039378,0.03071669923953511,0.2016941154310566,0.516860898522153,BH_from_pvalue,Cpn60 chaperonin GroEL%2C large subunit of GroESL,,NC_000913.3:4371024-4372671,16131968,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG0459] Chaperonin GroEL (HSP60 family),948665,NP_418567.1,548,"Cpn60 chaperonin GroEL, large subunit of GroESL"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,slyA,slyA,402.36379999999997,-1.0020703781845182,0.4992829762145104,0.11309124459149027,0.30635315074339586,0.5148413627659406,BH_from_pvalue,global transcriptional regulator,transcriptional regulator for cryptic hemolysin,NC_000913.3:1720389-1720824,90111310,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1846] DNA-binding transcriptional regulator, MarR family",946167,NP_416159.2,144,global transcriptional regulator
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,hycB,hycB,2.672814,0.8623249686322494,1.8179656855349386,0.06683416902102661,0.2530150684367436,0.5146817734813633,BH_from_pvalue,hydrogenase 3%2C Fe-S subunit,probable small subunit of hydrogenase-3%2C iron-sulfur protein (part of formate hydrogenlyase (FHL) complex),NC_000913.3:2847414-2849849,16130631,(METABOLISM) [C] Energy production and conversion,[COG1142] Fe-S-cluster-containing hydrogenase component 2,948002,NP_417204.1,203,"hydrogenase 3, Fe-S subunit"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,kilR,kilR,1.9674019999999999,-0.7105598655709691,0.6110829503288877,0.02145097510763678,0.18875151792301473,0.5145231824651556,BH_from_pvalue,killing protein%2C Rac prophage%3B FtsZ inhibitor protein,Kil protein (killing function) of lambdoid prophage Rac,NC_000913.3:1417837-1418229,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,wzyE,wzyE,3.9472699999999996,0.924990501350311,1.8986717410768157,0.08696097690499932,0.2778449299575912,0.5144774262967495,BH_from_pvalue,putative ECA polysaccharide chain elongation protein,putative ECA polymerization protein,NC_000913.3:3976277-3979953,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,nfrB,nfrB,7.085432000000002,-0.9277910005323662,0.5256626003980436,0.0879785080366547,0.2793725519109749,0.513825746752777,BH_from_pvalue,bacteriophage N4 receptor%2C inner membrane subunit,bacteriophage N4 receptor%2C subunit%2C inner membrane protein,NC_000913.3:587981-593178,16128552,(CELLULAR PROCESSES AND SIGNALING) [N] Cell motility,"[COG1215] Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase",945849,NP_415101.1,745,"bacteriophage N4 receptor, inner membrane subunit"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,fhuB,fhuB,2.499042,0.7386819426581839,1.6686506501176033,0.03070640384135227,0.2016941154310566,0.5136105574183019,BH_from_pvalue,iron(3+)-hydroxamate import ABC transporter permease,,NC_000913.3:169777-173444,16128146,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG0609] ABC-type Fe3+-siderophore transport system, permease component",946890,NP_414695.1,660,iron(3+)-hydroxamate import ABC transporter permease
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,purC,purC,27.70716,-0.7384506383295895,0.5993827052570523,0.03076152389435926,0.2016941154310566,0.5134497299521327,BH_from_pvalue,phosphoribosylaminoimidazole-succinocarboxamide synthetase,phosphoribosylaminoimidazole-succinocarboxamide synthetase %3D SAICAR synthetase,NC_000913.3:2596904-2597618,16130401,(METABOLISM) [F] Nucleotide transport and metabolism,[COG0152] Phosphoribosylaminoimidazole-succinocarboxamide synthase,946957,NP_416971.1,237,phosphoribosylaminoimidazole-succinocarboxamide synthetase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,mukB,mukB,30.26438,0.7085936679609537,1.6342103202364913,0.021878421674770564,0.18875151792301473,0.5130994400042054,BH_from_pvalue,chromosome condensin MukBEF%2C ATPase and DNA-binding subunit,kinesin-like cell division protein involved in chromosome partitioning,NC_000913.3:973536-980786,16128891,"(CELLULAR PROCESSES AND SIGNALING) [D] Cell cycle control, cell division, chromosome partitioning","[COG3096] Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB [Escherichia coli str. K-12 substr. MG1655",945549,NP_415444.1,1486,"chromosome condensin MukBEF, ATPase and DNA-binding subunit"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,relB,relB,80.37472,-0.7038225117459493,0.6139433679909282,0.019859809773523408,0.18688680344501307,0.512679354148113,BH_from_pvalue,antitoxin of the RelE-RelB toxin-antitoxin syste%3B transcriptional repressor,negative regulator of translation,NC_000913.3:1631001-1652708,16129523,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG3077] Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module,948308,NP_416082.1,79,antitoxin of the RelE-RelB toxin-antitoxin syste; transcriptional repressor
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,uxaB,uxaB,23.25154,-0.8718796001185227,0.5464344702480533,0.07221605478166263,0.25861417394003666,0.5120964571456528,BH_from_pvalue,altronate oxidoreductase%2C NAD-dependent,altronate oxidoreductase,NC_000913.3:1609228-1610680,49176119,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0246] Mannitol-1-phosphate/altronate dehydrogenases,945542,YP_025302.1,483,"altronate oxidoreductase, NAD-dependent"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ibpA,ibpA,56.593920000000004,0.9437403344725288,1.9235086727158184,0.09468572069512078,0.28735410311932963,0.5111133414355398,BH_from_pvalue,heat shock chaperone,heat shock protein,NC_000913.3:3867008-3867422,16131555,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones","[COG0071] Molecular chaperone IbpA, HSP20 family",948200,NP_418142.1,137,heat shock chaperone
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,adeP,adeP,19.400859999999998,-0.8188867872133008,0.5668791894246973,0.05641382478184945,0.2376281994817134,0.5110689002167177,BH_from_pvalue,adenine permease%2C high affinity%3B adenine:H+ symporter,putative membrane / transport protein,NC_000913.3:3895271-3896609,16131582,(METABOLISM) [F] Nucleotide transport and metabolism,"[COG2252] Xanthine/uracil/vitamin C permease, AzgA family",948224,NP_418170.1,445,"adenine permease, high affinity; adenine:H+ symporter"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,nrdH,nrdH,1.54603,1.019960968946355,2.0278640964657004,0.12038195530929872,0.3156304269946984,0.5108180123179995,BH_from_pvalue,hydrogen donor for NrdEF electron transport system%3B glutaredoxin-like protein,glutaredoxin-like protein%3B hydrogen donor,NC_000913.3:2800722-2803492,16130587,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG0695] Glutaredoxin,947161,NP_417159.1,81,hydrogen donor for NrdEF electron transport system; glutaredoxin-like protein
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yneM,yneM,369.3464,-3.8032905767103333,0.07163008296612598,0.5678990399200338,0.7344354482097859,0.5098172946231846,BH_from_pvalue,inner membrane-associated protein,,NC_000913.3:1622645-1622741,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yaiA,yaiA,48.55544,-0.8252232178334289,0.56439487088571,0.06052444849492612,0.24287519488580908,0.5071960847140425,BH_from_pvalue,OxyR-regulated conserved protein,,NC_000913.3:406978-407170,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,priB,priB,371.4058,0.6056387666222598,1.521652329808776,0.008296830110609384,0.14574617719486496,0.506557976916063,BH_from_pvalue,primosomal protein N,primosomal replication protein N,NC_000913.3:4425519-4425834,16132023,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair",[COG2965] Primosomal replication protein N,948722,NP_418622.1,104,primosomal protein N
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yjiS,yjiS,1.04478,-1.2312394062393464,0.4259513577025328,0.1855426219564779,0.38835799969027396,0.5057534338316045,BH_from_pvalue,DUF1127 family protein,,NC_000913.3:4571750-4571915,16132162,(POORLY CHARACTERIZED) [S] Function unknown,"[COG5457] Uncharacterized conserved protein YjiS, DUF1127 family",948903,NP_418761.1,54,DUF1127 family protein
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,purL,purL,6.373342,-0.646905100272515,0.6386488882068654,0.012386037822971666,0.16560279095172953,0.5051891190176963,BH_from_pvalue,phosphoribosylformyl-glycineamide synthetase,phosphoribosylformyl-glycineamide synthetase %3D FGAM synthetase,NC_000913.3:2691655-2695543,49176239,(METABOLISM) [F] Nucleotide transport and metabolism,"[COG0047] Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain",947032,YP_026170.1,1295,phosphoribosylformyl-glycineamide synthetase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yciX,yciX,23.723339999999997,-1.1880354767408923,0.4389001058538308,0.17121679267976586,0.375690942848988,0.5051161820523868,BH_from_pvalue,uncharacterized protein,,NC_000913.3:1335290-1335458,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,yfjL,yfjL,25.3418,-0.8390555559348138,0.5590093984888019,0.06327568266609543,0.2503617205795124,0.504634921926824,BH_from_pvalue,CP4-57 putative defective prophage%2C DUF4297/DUF1837 polymorphic toxin family protein,,NC_000913.3:2761350-2765153,-,-,-,-,-,-,-
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,fryA,fryA,3.112746,0.8845284743859205,1.8461611297236264,0.07924770568932431,0.2690832420543556,0.5042814902454774,BH_from_pvalue,putative PTS enzyme: Hpr%2C enzyme I and IIA components,putative PTS system enzyme IIA component%2C enzyme I,NC_000913.3:2501989-2504485,16130315,(CELLULAR PROCESSES AND SIGNALING | METABOLISM) [T] Signal transduction mechanisms; [G] Carbohydrate transport and metabolism,"[COG1925] Phosphotransferase system, HPr and related phosphotransfer proteins",946852,NP_416884.1,831,"putative PTS enzyme: Hpr, enzyme I and IIA components"
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,ybiI,ybiI,2.84544,-0.9433074106511381,0.5200393110483599,0.10040580543805284,0.2922388488850034,0.503973352370184,BH_from_pvalue,DksA-type zinc finger protein,,NC_000913.3:838189-838456,16128771,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG1734] RNA polymerase-binding transcription factor DksA,945434,NP_415324.1,88,DksA-type zinc finger protein
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,wzc,wzc,2.2536096,0.892724231786113,1.8566787703328367,0.08170167405769682,0.27328012990598516,0.5029536408889033,BH_from_pvalue,colanic acid production tyrosine-protein kinase%3B autokinase%3B Ugd phosphorylase,,NC_000913.3:2133489-2135652,90111377,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG3206] Uncharacterized protein involved in exopolysaccharide biosynthesis,946567,NP_416564.4,720,colanic acid production tyrosine-protein kinase; autokinase; Ugd phosphorylase
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,rsxA,rsxA,7.764218,-0.712236571902674,0.6103731596576288,0.027652678638209253,0.1969259450543101,0.5026232559982596,BH_from_pvalue,SoxR iron-sulfur cluster reduction factor component%3B inner membrane protein of electron transport complex,,NC_000913.3:1705766-1709141,16129585,(METABOLISM) [C] Energy production and conversion,"[COG4657] Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit",946148,NP_416144.1,193,SoxR iron-sulfur cluster reduction factor component; inner membrane protein of electron transport complex
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,rplQ,rplQ,418.645,0.7032847262072348,1.6282076768893938,0.025871891647482416,0.19293410655710505,0.5025609299782967,BH_from_pvalue,50S ribosomal subunit protein L17,,NC_000913.3:3439615-3439999,16131173,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG0203] Ribosomal protein L17,947784,NP_417753.1,127,50S ribosomal subunit protein L17
beta_lactam,amoxicillin_resistant_mutant,amoxicillin_resistant_mutant_vs_control,not_regulated,rfbD,rfbD,27.500700000000002,0.7080239829877897,1.6335651379570573,0.026704346988936034,0.1951483892526536,0.5024386197129758,BH_from_pvalue,dTDP-L-rhamnose synthase%2C NAD(P)-dependent dTDP-4-dehydrorhamnose reductase subunit,dTDP-6-deoxy-L-mannose-dehydrogenase,NC_000913.3:2111076-2113061,16129980,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG1091] dTDP-4-dehydrorhamnose reductase,947117,NP_416544.1,299,"dTDP-L-rhamnose synthase, NAD(P)-dependent dTDP-4-dehydrorhamnose reductase subunit"
